"National
Dex","Pokemon
Name",Type,"Kanto Dex #
(RBYFRLG)","Kanto Dex #
(LGPE)","New Dex #
(GSC)","Johto Dex #
(HGSS)","Hoenn Dex #
(RSE)","Hoenn Dex #
(ORAS)","Sinnoh Dex #
(DPBDSP)","Sinnoh Dex #
(Pt)","Unova Dex #
(BW)","Unova Dex #
(B2W2)","Central Kalos Dex #
(XY)","Coastal Kalos Dex #
(XY)","Mount Kalos Dex #
(XY)","Alola Dex #
(SM)","Melemele Dex #
(SM)","Akala Dex #
(SM)","Ula'ula Dex #
(SM)","Poni Dex #
(SM)","Alola Dex #
(USUM)","Melemele Dex #
(USUM)","Akala Dex #
(USUM)","Ula'ula Dex #
(USUM)","Poni Dex #
(USUM)","Galar Dex #
(SwSh)","Isle of Armor Dex #
(SwSh)","Crown Tund Dex #
(SwSh)","Hisui Dex #
(LA)","Paldea Dex #
(SV)",HP,Attack,Defense,"Special
Attack","Special
Defense",Speed,Total,Type I,Type II,Ability I,Ability II,Hidden Ability,Height (ft),Height (m),Weight (lbs),Weight (kg),HP EVs,Attcak EVs,Defense EVs,Special Attack EVs,Special Defense EVs,Speed EVs,"Experience
Value",Catch Rate,"Experience
Growth",Base Friendship,Pokedex Color,Gender Ratio,Egg Cycles,Egg Group I,Egg Group II,"Evolution
Method"
741,Oricorio (Baile),,,,,,,,,,,,,,,82,82,31,42,32,97,,,42,,,,,,100,75,70,70,98,70,93,476,Fire,Flying,Dancer,,,2′00″,0.6,7.5,3.4,,,,2,,,167,45,Med Fast,50,Red,F (75%),20,Flying,,
741.1,Oricorio (Pa'u),,,,,,,,,,,,,,,82,82,31,42,32,97,,31,,,,,,,100,75,70,70,98,70,93,476,Psychic,Flying,Dancer,,,2′00″,0.6,7.5,3.4,,,,2,,,167,45,Med Fast,50,Pink,F (75%),20,Flying,,
741.2,Oricorio (Pom-Pom),,,,,,,,,,,,,,,82,82,31,42,32,97,97,,,,,,,,100,75,70,70,98,70,93,476,Electric,Flying,Dancer,,,2′00″,0.6,7.5,3.4,,,,2,,,167,45,Med Fast,50,Yellow,F (75%),20,Flying,,
741.3,Oricorio (Sensu),,,,,,,,,,,,,,,82,82,31,42,32,97,,,,41,,,,,100,75,70,70,98,70,93,476,Ghost,Flying,Dancer,,,2′00″,0.6,7.5,3.4,,,,2,,,167,45,Med Fast,50,Purple,F (75%),20,Flying,,
742,Cutiefly,,,,,,,,,,,,,,,83,83,,43,33,98,98,,43,42,187,,,,,40,45,40,55,40,84,304,Bug,Fairy,Honey Gather ,Shield Dust ,Sweet Veil,0′04″,0.1,0.4,0.2,,,,,,1,61,190,Med Fast,50,Yellow,Neutral,20,Bug,Fairy,Lv. 25
743,Ribombee,,,,,,,,,,,,,,,84,84,,44,34,99,99,,44,43,188,,,,,60,55,60,95,70,124,464,Bug,Fairy,Honey Gather ,Shield Dust ,Sweet Veil,0′08″,0.2,1.1,0.5,,,,,,2,162,75,Med Fast,50,Yellow,Neutral,20,Bug,Fairy,
744,Rockruff,,,,,,,,,,,,,,,103,103,,,53,126,126,,,65,,157,,,89,45,65,40,30,40,60,280,Rock,,Keen Eye ,Vital Spirit ,Steadfast,1′08″,0.5,20.3,9.2,,1,,,,,56,190,Med Fast,50,Brown,Neutral,15,Field,,Lv. 25 (Day)/Lv. 25 (Night)
744.1,Rockruff (Own Tempo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,65,40,30,40,60,280,Rock,,Keen Eye ,Vital Spirit ,Own Tempo,1′08″,0.5,20.3,9.2,,1,,,,,56,190,Med Fast,50,Brown,Neutral,15,Field,,Lv. 25 (Dusk)
745,Lycanroc (Midday),,,,,,,,,,,,,,,104,104,,,54,127,127,,,66,,158,,,90,75,115,65,55,65,112,487,Rock,,Keen Eye ,Sand Rush ,Steadfast,2′07″,0.8,55.1,25,,2,,,,,170,90,Med Fast,50,Brown,Neutral,15,Field,,
745.1,Lycanroc (Midnight),,,,,,,,,,,,,,,104,104,,,54,127,127,,,66,,158,,,90,85,115,75,55,75,82,487,Rock,,Keen Eye ,Vital Spirit ,No Guard,3′07″,1.1,55.1,25,,2,,,,,170,90,Med Fast,50,Red,Neutral,15,Field,,
745.2,Lycanroc (Dusk),,,,,,,,,,,,,,,,,,,,127,127,,,66,,158,,,90,75,117,65,55,65,110,487,Rock,,Tough Claws,,,2′07″,0.8,55.1,25,,2,,,,,170,90,Med Fast,50,Brown,Neutral,15,Field,,
746,Wishiwashi (Solo),,,,,,,,,,,,,,,110,110,42,57,,133,133,42,60,,155,110,,,,45,20,20,25,25,40,175,Water,,Schooling,,,0′08″,0.2,0.7,0.3,1,,,,,,61,60,Fast,50,Blue,Neutral,15,Water 2,,
746.1,Wishiwashi (School),,,,,,,,,,,,,,,110,110,42,57,,133,133,42,60,,155,110,,,,45,140,130,140,135,30,620,Water,,Schooling,,,26′11″,8.2,173.3,78.6,1,,,,,,217,60,Fast,50,Blue,Neutral,15,Water 2,,
747,Mareanie,,,,,,,,,,,,,,,113,113,45,,,136,136,45,,,307,127,,,344,50,53,62,43,52,45,305,Poison,Water,Merciless ,Limber ,Regenerator,1′04″,0.4,17.6,8,,,1,,,,61,190,Med Fast,50,Blue,Neutral,20,Water 1,,Lv. 38
748,Toxapex,,,,,,,,,,,,,,,114,114,46,,,137,137,46,,,308,128,,,345,50,63,152,53,142,35,495,Poison,Water,Merciless ,Limber ,Regenerator,2′04″,0.7,32,14.5,,,2,,,,173,75,Med Fast,50,Blue,Neutral,20,Water 1,,
749,Mudbray,,,,,,,,,,,,,,,132,,59,58,59,165,,66,64,71,84,,,,272,70,100,70,45,55,45,385,Ground,,Own Tempo,Stamina ,Inner Focus,3′03″,1,242.5,110,,1,,,,,77,190,Med Fast,50,Brown,Neutral,20,Field,,Lv. 30
750,Mudsdale,,,,,,,,,,,,,,,133,,60,59,60,166,,67,65,72,85,,,,273,100,125,100,55,85,35,500,Ground,,Own Tempo,Stamina ,Inner Focus,8′02″,2.5,2028.3,920,,2,,,,,175,60,Med Fast,50,Brown,Neutral,20,Field,,
751,Dewpider,,,,,,,,,,,,,,,141,,68,62,,174,,75,68,,214,,91,,,38,40,52,40,72,27,269,Water,Bug,Water Bubble ,,Water Absorb,1′00″,0.3,8.8,4,,,,,1,,54,200,Med Fast,50,Green,Neutral,15,Water 1,Bug,Lv. 22
752,Araquanid,,,,,,,,,,,,,,,142,,69,63,,175,,76,69,,215,,92,,,68,70,92,50,132,42,454,Water,Bug,Water Bubble ,,Water Absorb,5′11″,1.8,180.8,82,,,,,2,,159,100,Med Fast,50,Green,Neutral,15,Water 1,Bug,
753,Fomantis,,,,,,,,,,,,,,,143,,70,,,176,,77,,,,17,,,247,40,55,35,50,35,35,250,Grass,,Leaf Guard ,,Contrary,1′00″,0.3,3.3,1.5,,1,,,,,50,190,Med Fast,50,Pink,Neutral,20,Grass,,Lv. 34 (Day)
754,Lurantis,,,,,,,,,,,,,,,144,,71,,,177,,78,,,,18,,,248,70,105,90,80,90,45,480,Grass,,Leaf Guard ,,Contrary,2′11″,0.9,40.8,18.5,,2,,,,,168,75,Med Fast,50,Pink,Neutral,20,Grass,,
755,Morelull,,,,,,,,,,,,,,,145,,72,64,,178,,79,70,,340,,,,,40,35,55,65,75,15,285,Grass,Fairy,Illuminate ,Effect Spore,Rain Dish,0′08″,0.2,3.3,1.5,,,,,1,,57,190,Med Fast,50,Purple,Neutral,20,Grass,,Lv. 24
756,Shiinotic,,,,,,,,,,,,,,,146,,73,65,,179,,80,71,,341,,,,,60,45,80,90,100,30,405,Grass,Fairy,Illuminate ,Effect Spore,Rain Dish,3′03″,1,25.4,11.5,,,,,2,,142,75,Med Fast,50,Purple,Neutral,20,Grass,,
757,Salandit,,,,,,,,,,,,,,,161,,88,,,195,,96,,,244,159,,,120,48,44,40,71,40,77,320,Poison,Fire,Corrosion ,,Oblivious,2′00″,0.6,10.6,4.8,,,,,,1,64,120,Med Fast,50,Black,M (87.5%),20,Monster,Dragon,Lv. 33 (Female)
758,Salazzle,,,,,,,,,,,,,,,162,,89,,,196,,97,,,245,160,,,121,68,64,60,111,60,117,480,Poison,Fire,Corrosion ,,Oblivious,3′11″,1.2,48.9,22.2,,,,,,2,168,45,Med Fast,50,Black,F (100%),20,Monster,Dragon,
759,Stufful,,,,,,,,,,,,,,,169,,96,,63,205,,106,,76,94,,,,,70,75,50,45,50,50,340,Normal,Fighting,Fluffy ,Klutz ,Cute Charm,1′08″,0.5,15,6.8,,1,,,,,68,140,Med Fast,50,Pink,Neutral,15,Field,,Lv. 27
760,Bewear,,,,,,,,,,,,,,,170,,97,,64,206,,107,,77,95,,,,,120,125,80,55,60,60,500,Normal,Fighting,Fluffy ,Klutz ,Unnerve,6′11″,2.1,297.6,135,,2,,,,,175,70,Med Fast,50,Pink,Neutral,15,Field,,
761,Bounsweet,,,,,,,,,,,,,,,171,,98,,,207,,108,,,52,,,,81,42,30,38,30,38,32,210,Grass,,Leaf Guard ,Oblivious ,Sweet Veil,1′00″,0.3,7.1,3.2,1,,,,,,42,235,Med Slow,50,Purple,F (100%),20,Grass,,Lv. 18
762,Steenee,,,,,,,,,,,,,,,172,,99,,,208,,109,,,53,,,,82,52,40,48,40,48,62,290,Grass,,Leaf Guard ,Oblivious ,Sweet Veil,2′04″,0.7,18.1,8.2,,,,,,2,102,120,Med Slow,50,Purple,F (100%),20,Grass,,Level Up (Knowing Stomp)
763,Tsareena,,,,,,,,,,,,,,,173,,100,,,209,,110,,,54,,,,83,72,120,98,50,98,72,510,Grass,,Leaf Guard ,Queenly Majesty ,Sweet Veil,3′11″,1.2,47.2,21.4,,3,,,,,255,45,Med Slow,50,Purple,F (100%),20,Grass,,
764,Comfey,,,,,,,,,,,,,,,174,,101,,,210,,111,,,,79,,,,51,52,90,82,110,100,485,Fairy,,Flower Veil ,Triage ,Natural Cure,0′04″,0.1,0.7,0.3,,,,,2,,170,60,Fast,50,Green,F (75%),20,Grass,,
765,Oranguru,,,,,,,,,,,,,,,176,,103,,,215,,116,,,342,89,,,313,90,60,80,90,110,60,490,Normal,Psychic,Inner Focus ,Telepathy ,Symbiosis,4′11″,1.5,167.6,76,,,,,2,,172,45,Slow,50,White,Neutral,20,Field,,
766,Passimian,,,,,,,,,,,,,,,177,,104,,,216,,117,,,343,90,,,314,100,120,90,40,60,80,490,Fighting,,Receiver ,,Defiant,6′07″,2,182.5,82.8,,2,,,,,172,45,Slow,50,White,Neutral,20,Field,,
767,Wimpod,,,,,,,,,,,,,,,182,,109,,70,221,,122,,83,232,124,,,,25,35,40,20,30,80,230,Bug,Water,Wimp Out,,,1′08″,0.5,26.5,12,,,,,,1,46,90,Med Fast,50,Gray,Neutral,20,Bug,Water 3,Lv. 30
768,Golisopod,,,,,,,,,,,,,,,183,,110,,71,222,,123,,84,233,125,,,,75,125,140,60,90,40,530,Bug,Water,Emergency Exit,,,6′07″,2,238.1,108,,,2,,,,186,45,Med Fast,50,Gray,Neutral,20,Bug,Water 3,
769,Sandygast,,,,,,,,,,,,,,,186,,113,,,225,,126,,,,133,,,322,55,55,80,70,45,15,320,Ghost,Ground,Water Compaction ,,Sand Veil,1′08″,0.5,154.3,70,,,1,,,,64,140,Med Fast,50,Brown,Neutral,15,Amorphous,,Lv. 42
770,Palossand,,,,,,,,,,,,,,,187,,114,,,226,,127,,,,134,,,323,85,75,110,100,75,35,480,Ghost,Ground,Water Compaction ,,Sand Veil,4′03″,1.3,551.2,250,,,2,,,,168,60,Med Fast,50,Brown,Neutral,15,Amorphous,,
771,Pyukumuku,,,,,,,,,,,,,,,200,,127,,,256,,157,,,156,,,,,55,60,130,30,130,5,410,Water,,Innards Out,Unaware,Unaware,1′00″,0.3,2.6,1.2,,,,,2,,144,60,Fast,50,Black,Neutral,15,Water 1,,
772,Type: Null,Sub-Legendary,,,,,,,,,,,,,,203,,,,,259,,,,,381,,,,,95,95,95,95,95,59,534,Normal,,Battle Armor,,,6′03″,1.9,265.7,120.5,2,,,,,,107,3,Slow,0,Gray,None,120,Undiscovered,,Friendship
773,Silvally,Sub-Legendary,,,,,,,,,,,,,,204,,,,,260,,,,,382,,,,,95,95,95,95,95,95,570,Normal,,RKS System,,,7′07″,2.3,221.6,100.5,3,,,,,,285,3,Slow,0,Gray,None,120,Undiscovered,,
774,Minior (Meteor),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,60,100,60,100,60,440,Rock,Flying,Shields Down,,,1′00″,0.3,88.2,40,,,1,,1,,154,30,Med Slow,50,Brown,None,25,Mineral,,
774.1,Minior (Red Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Red,None,25,Mineral,,
774.2,Minior (Orange Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Red,None,25,Mineral,,
774.3,Minior (Yellow Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Yellow,None,25,Mineral,,
774.4,Minior (Green Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Green,None,25,Mineral,,
774.5,Minior (Blue Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Blue,None,25,Mineral,,
774.6,Minior (Indigo Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Blue,None,25,Mineral,,
774.7,Minior (Violet Core),,,,,,,,,,,,,,,213,,,85,,277,,,98,,,,,,,60,100,60,100,60,120,500,Rock,Flying,Shields Down,,,1′00″,0.3,0.7,0.3,,1,,1,,,175,30,Med Slow,50,Purple,None,25,Mineral,,
775,Komala,,,,,,,,,,,,,,,222,,,94,,286,,,107,,,,,,315,65,115,65,75,95,65,480,Normal,,Comatose,,,1′04″,0.4,43.9,19.9,,2,,,,,168,45,Slow,50,Blue,Neutral,20,Field,,
776,Turtonator,,,,,,,,,,,,,,,224,,,96,,288,,,109,,347,,,,,60,78,135,91,85,36,485,Fire,Dragon,Shell Armor,,,6′07″,2,467.4,212,,,2,,,,170,70,Med Fast,50,Red,Neutral,20,Monster,Dragon,
777,Togedemaru,,,,,,,,,,,,,,,225,,,97,,292,,,113,,348,,,,,65,98,63,40,73,96,435,Electric,Steel,Iron Barbs ,Lightningrod,Sturdy,1′00″,0.3,7.3,3.3,,2,,,,,152,180,Med Fast,50,Gray,Neutral,10,Field,Fairy,
778,Mimikyu,,,,,,,,,,,,,,,242,,,114,,315,,,136,,301,,46,,239,55,90,80,50,105,96,476,Ghost,Fairy,Disguise,,,0′08″,0.2,1.5,0.7,,,,,2,,167,45,Med Fast,50,Yellow,Neutral,20,Amorphous,,
779,Bruxish,,,,,,,,,,,,,,,243,,,115,,320,,,141,,,,,,335,68,105,70,70,70,92,475,Water,Psychic,Dazzling ,Strong Jaw ,Wonder Skin,2′11″,0.9,41.9,19,,2,,,,,166,80,Med Fast,50,Pink,Neutral,15,Water 2,,
780,Drampa,,,,,,,,,,,,,,,244,,,116,,321,,,142,,346,,,,,78,60,85,135,91,36,485,Normal,Dragon,Berserk ,Sap Sipper ,Cloud Nine,9′10″,3,407.9,185,,,,2,,,170,70,Med Fast,50,White,Neutral,20,Monster,Dragon,
781,Dhelmise,,,,,,,,,,,,,,,263,,,,78,344,,,,91,360,,162,,,70,131,100,86,90,40,517,Ghost,Grass,Steelworker,,,12′10″,3.9,463,210,,2,,,,,181,25,Med Fast,50,Green,None,25,Mineral,,
782,Jangmo-o,Pseudo Legendary,,,,,,,,,,,,,,271,,,,86,361,,,,108,392,165,,,,45,55,65,45,45,45,300,Dragon,,Bulletproof ,Soundproof ,Overcoat,2′00″,0.6,65.5,29.7,,,1,,,,60,45,Slow,50,Gray,Neutral,40,Dragon,,Lv. 35
783,Hakamo-o,Pseudo Legendary,,,,,,,,,,,,,,272,,,,87,362,,,,109,393,166,,,,55,75,90,65,70,65,420,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,3′11″,1.2,103.6,47,,,2,,,,147,45,Slow,50,Gray,Neutral,40,Dragon,,Lv. 45
784,Kommo-o,Pseudo Legendary,,,,,,,,,,,,,,273,,,,88,363,,,,110,394,167,,,,75,110,125,100,105,85,600,Dragon,Fighting,Bulletproof ,Soundproof ,Overcoat,5′03″,1.6,172.4,78.2,,,3,,,,300,45,Slow,50,Gray,Neutral,40,Dragon,,
785,Tapu Koko,Sub-Legendary,,,,,,,,,,,,,,285,120,,,,383,150,,,,,,,,,70,115,85,95,75,130,570,Electric,Fairy,Electric Surge ,Telepathy,,5′11″,1.8,45.2,20.5,,,,,,3,285,3,Slow,50,Yellow,None,15,Undiscovered,,
786,Tapu Lele,Sub-Legendary,,,,,,,,,,,,,,286,,130,,,384,,160,,,,,,,,70,85,75,130,115,95,570,Psychic,Fairy,Psychic Surge ,Telepathy,,3′11″,1.2,41,18.6,,,,3,,,285,3,Slow,50,Pink,None,15,Undiscovered,,
787,Tapu Bulu,Sub-Legendary,,,,,,,,,,,,,,287,,,130,,385,,,160,,,,,,,70,130,115,85,95,75,570,Grass,Fairy,Grassy Surge ,Telepathy,,6′03″,1.9,100.3,45.5,,3,,,,,285,3,Slow,50,Red,None,15,Undiscovered,,
788,Tapu Fini,Sub-Legendary,,,,,,,,,,,,,,288,,,,100,386,,,,130,,,,,,70,75,115,95,130,85,570,Water,Fairy,Misty Surge ,Telepathy,,4′03″,1.3,46.7,21.2,,,,,3,,285,3,Slow,50,Purple,None,15,Undiscovered,,
789,Cosmog,Legendary,,,,,,,,,,,,,,289,,,,,387,,,,,,,,,,43,29,31,29,31,37,200,Psychic,,Unaware,,,0′08″,0.2,0.2,0.1,1,,,,,,40,45,Slow,0,Blue,None,120,Undiscovered,,Lv. 43
790,Cosmoem,Legendary,,,,,,,,,,,,,,290,,,,,388,,,,,,,,,,43,29,131,29,131,37,400,Psychic,,Sturdy,,,0′04″,0.1,2204.4,999.9,,,1,,1,,140,45,Slow,0,Blue,None,120,Undiscovered,,Lv. 53 (Sun/Sword)/Lv. 53 (Moon/Shield)
791,Solgaleo,Legendary,,,,,,,,,,,,,,291,,,,,389,,,,,,,,,,137,137,107,113,89,97,680,Psychic,Steel,Full Metal Body,,,11′02″,3.4,507.1,230,,3,,,,,340,45,Slow,0,White,None,120,Undiscovered,,
792,Lunala,Legendary,,,,,,,,,,,,,,292,,,,,390,,,,,,,,,,137,113,89,137,107,97,680,Psychic,Ghost,Shadow Shield,,,13′01″,4,264.6,120,,,,3,,,340,45,Slow,0,Purple,None,120,Undiscovered,,
793,Nihilego,Ultra Beast,,,,,,,,,,,,,,293,,,,,391,,,,,,,,,,109,53,47,127,131,103,570,Rock,Poison,Beast Boost,,,3′11″,1.2,122.4,55.5,,,,,3,,285,45,Slow,0,White,None,120,Undiscovered,,
794,Buzzwole,Ultra Beast,,,,,,,,,,,,,,294,,,,,394,,,,,,,,,,107,139,139,53,53,79,570,Bug,Fighting,Beast Boost,,,7′10″,2.4,735.5,333.6,,1,2,,,,285,45,Slow,0,Red,None,120,Undiscovered,,
795,Pheromosa,Ultra Beast,,,,,,,,,,,,,,295,,,,,395,,,,,,,,,,71,137,37,137,37,151,570,Bug,Fighting,Beast Boost,,,5′11″,1.8,55.1,25,,,,,,3,285,45,Slow,0,White,None,120,Undiscovered,,
796,Xurkitree,Ultra Beast,,,,,,,,,,,,,,296,,,,,396,,,,,,,,,,83,89,71,173,71,83,570,Electric,,Beast Boost,,,12′06″,3.8,220.5,100,,,,3,,,285,45,Slow,0,Black,None,120,Undiscovered,,
797,Celesteela,Ultra Beast,,,,,,,,,,,,,,297,,,,,397,,,,,,,,,,97,101,103,107,101,61,570,Steel,Flying,Beast Boost,,,30′02″,9.2,2204.4,999.9,,1,1,1,,,285,45,Slow,0,Green,None,120,Undiscovered,,
798,Kartana,Ultra Beast,,,,,,,,,,,,,,298,,,,,398,,,,,,,,,,59,181,131,59,31,109,570,Grass,Steel,Beast Boost,,,1′00″,0.3,0.2,0.1,,3,,,,,285,45,Slow,0,White,None,120,Undiscovered,,
799,Guzzlord,Ultra Beast,,,,,,,,,,,,,,299,,,,,399,,,,,,,,,,223,101,53,97,53,43,570,Dark,Dragon,Beast Boost,,,18′01″,5.5,1957.7,888,3,,,,,,285,45,Slow,0,Black,None,120,Undiscovered,,
800,Necrozma,Legendary,,,,,,,,,,,,,,300,,,,,400,,,,,,,,,,97,107,101,127,89,79,600,Psychic,,Prism Armor,,,7′10″,2.4,507.1,230,,1,,2,,,300,3,Slow,0,Black,None,120,Undiscovered,,
800.1,Necrozma (Dusk Mane),Legendary,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,97,157,127,113,109,77,680,Psychic,Steel,Prism Armor,,,12′06″,3.8,1014.1,460,,3,,,,,340,3,Slow,0,Yellow,None,120,Undiscovered,,
800.2,Necrozma (Dawn Wings),Legendary,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,97,113,109,157,127,77,680,Psychic,Ghost,Prism Armor,,,13′09″,4.2,771.6,350,,,,3,,,340,3,Slow,0,Blue,None,120,Undiscovered,,
800.3,Necrozma (Ultra),"Legendary, Mega Evolution",,,,,,,,,,,,,,,,,,,400,,,,,,,,,,97,167,97,167,97,129,754,Psychic,Dragon,Neuroforce,,,24′07″,7.5,507.1,230,,1,,2,,,377,3,Slow,0,Yellow,None,120,Undiscovered,,
801,Magearna,Mythical,,,,,,,,,,,,,,301,,,,,401,,,,,,,,,,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,3′03″,1,177.5,80.5,,,,3,,,300,3,Slow,0,Gray,None,120,Undiscovered,,
801.1,Magearna (Original Color),Mythical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,95,115,130,115,65,600,Steel,Fairy,Soul-Heart,,,3′03″,1,177.5,80.5,,,,3,,,300,3,Slow,0,Red,None,120,Undiscovered,,
802,Marshadow,Mythical,,,,,,,,,,,,,,302,,,,,402,,,,,,,,,,90,125,80,90,90,125,600,Fighting,Ghost,Technician,,,2′04″,0.7,48.9,22.2,,2,,,,1,300,3,Slow,0,Gray,None,120,Undiscovered,,
803,Poipole,Ultra Beast,,,,,,,,,,,,,,,,,,,261,,,,,,,,,,67,73,67,73,67,73,420,Poison,,Beast Boost,,,2′00″,0.6,4,1.8,,,,,,1,210,45,Slow,0,Purple,None,120,Undiscovered,,Level Up (Knowing Dragon Pulse)
804,Naganadel,Ultra Beast,,,,,,,,,,,,,,,,,,,262,,,,,,,,,,73,73,73,127,73,121,540,Poison,Dragon,Beast Boost,,,11′10″,3.6,330.7,150,,,,3,,,270,45,Slow,0,Purple,None,120,Undiscovered,,
805,Stakataka,Ultra Beast,,,,,,,,,,,,,,,,,,,392,,,,,,,,,,61,131,211,53,101,13,570,Rock,Steel,Beast Boost,,,18′01″,5.5,1807.8,820,,,3,,,,285,30,Slow,0,Gray,None,120,Undiscovered,,
806,Blacephalon,Ultra Beast,,,,,,,,,,,,,,,,,,,393,,,,,,,,,,53,127,53,151,79,107,570,Fire,Ghost,Beast Boost,,,5′11″,1.8,28.7,13,,,,3,,,285,30,Slow,0,White,None,120,Undiscovered,,
807,Zeraora,Mythical,,,,,,,,,,,,,,,,,,,403,,,,,,,,,,88,112,75,102,80,143,600,Electric,,Volt Absorb,,,4′11″,1.5,98.1,44.5,,,,,,3,300,3,Slow,0,Yellow,None,120,Undiscovered,,
808,Meltan,Mythical,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,46,65,65,55,35,34,300,Steel,,Magnet Pull,,,0′08″,0.2,17.6,8,,1,,,,,150,3,Slow,0,Gray,None,120,Undiscovered,,400 Candies (Pokemon Go)
809,Melmetal,Mythical,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,135,143,143,80,65,34,600,Steel,,Iron Fist,,,8′02″,2.5,1763.7,800,,3,,,,,300,3,Slow,0,Gray,None,120,Undiscovered,,
810,Grookey,Starter,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,50,65,50,40,40,65,310,Grass,,Overgrow,,Grassy Surge,1′00″,0.3,11,5,,1,,,,,62,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,Lv. 16
811,Thwackey,Starter,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,70,85,70,55,60,80,420,Grass,,Overgrow,,Grassy Surge,2′04″,0.7,30.9,14,,2,,,,,147,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,Lv. 35
812,Rillaboom,Starter,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,100,125,90,60,70,85,530,Grass,,Overgrow,,Grassy Surge,6′11″,2.1,198.4,90,,3,,,,,265,45,Med Slow,50,Green,M (87.5%),20,Field,Grass,
813,Scorbunny,Starter,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,50,71,40,40,40,69,310,Fire,,Blaze,,Libero,1′00″,0.3,9.9,4.5,,,,,,1,62,45,Med Slow,50,White,M (87.5%),20,Field,Human-Like,Lv. 16
814,Raboot,Starter,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,65,86,60,55,60,94,420,Fire,,Blaze,,Libero,2′00″,0.6,19.8,9,,,,,,2,147,45,Med Slow,50,Gray,M (87.5%),20,Field,Human-Like,Lv. 35
815,Cinderace,Starter,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,80,116,75,65,75,119,530,Fire,,Blaze,,Libero,4′07″,1.4,72.8,33,,,,,,3,265,45,Med Slow,50,White,M (87.5%),20,Field,Human-Like,
816,Sobble,Starter,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,50,40,40,70,40,70,310,Water,,Torrent,,Sniper,1′00″,0.3,8.8,4,,,,,1,1,62,45,Med Slow,50,Blue,M (87.5%),20,Water 1,Field,Lv. 16
817,Drizzile,Starter,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,65,60,55,95,55,90,420,Water,,Torrent,,Sniper,2′04″,0.7,25.4,11.5,,,,2,,,147,45,Med Slow,50,Blue,M (87.5%),20,Water 1,Field,Lv. 35
818,Inteleon,Starter,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,70,85,65,125,65,120,530,Water,,Torrent,,Sniper,6′03″,1.9,99.6,45.2,,,,,,3,265,45,Med Slow,50,Blue,M (87.5%),20,Water 1,Field,
819,Skwovet,,,,,,,,,,,,,,,,,,,,,,,,,24,9,5,,29,70,55,55,35,35,25,275,Normal,,Cheek Pouch,,Gluttony,1′00″,0.3,5.5,2.5,1,,,,,,55,255,Med Fast,50,Brown,Neutral,20,Field,,Lv. 24
820,Greedent,,,,,,,,,,,,,,,,,,,,,,,,,25,10,6,,30,120,95,95,55,75,20,460,Normal,,Cheek Pouch,,Gluttony,2′00″,0.6,13.2,6,2,,,,,,161,90,Med Fast,50,Brown,Neutral,20,Field,,
821,Rookidee,,,,,,,,,,,,,,,,,,,,,,,,,21,,163,,40,38,47,35,33,35,57,245,Flying,,Keen Eye,Unnerve,Big Pecks,0′08″,0.2,4,1.8,,,,,,1,49,255,Med Slow,50,Blue,Neutral,15,Flying,,Lv. 18
